Zip,Latitude,Longitude
78615,30.460373,-97.3935
79358,33.425342,-102.16505
76161,32.771419,-97.291484
79338,33.593213,-102.362709
88581,31.694842,-106.299987
77028,29.827315,-95.28631
78572,26.234417,-98.34205
79171,35.401475,-101.895089
79766,31.749504,-102.32177
79776,31.730204,-102.62831
79902,31.775458,-106.4945
77036,29.70053,-95.53514
78241,29.437532,-98.461582
78714,30.335787,-97.443751
75077,33.075138,-97.0529
75323,32.767268,-96.777626
75602,32.474499,-94.712
76028,32.535841,-97.30681
77225,29.83399,-95.434241
78215,29.438032,-98.48114
75408,33.349316,-96.548597
75659,32.507491,-94.110636
76249,33.270036,-97.24859
77336,30.045495,-95.10714
78417,27.729855,-97.44503
79870,30.354251,-103.658391
75785,31.79364,-95.16761
75936,30.942336,-94.58376
76126,32.649476,-97.49124
76569,30.932552,-97.22374
77519,30.249734,-94.60291
75232,32.664034,-96.83886
76574,30.574821,-97.40948
77833,30.183651,-96.40258
78722,30.289307,-97.71659
77058,29.55283,-95.10265
78557,26.105725,-98.24639
75056,33.081421,-96.88957
77384,30.233865,-95.49679
75376,32.767268,-96.777626
77387,30.378446,-95.557004
79180,35.401475,-101.895089
79701,31.995623,-102.08108
76566,31.506687,-97.98997
77095,29.896656,-95.64842
78117,28.956196,-97.95012
79960,31.694842,-106.299987
75068,33.173008,-96.95485
77399,30.817866,-94.869052
79911,31.694842,-106.299987
75067,33.020118,-97.00771
75501,33.414708,-94.08984
78683,30.656817,-97.602552
79369,33.91843,-102.15822
79698,32.475074,-99.73484
76077,32.28122,-97.70927
76192,32.771419,-97.291484
77507,29.624686,-95.06111
76136,32.771419,-97.291484
76628,32.045029,-96.96601
78476,27.777,-97.463213
78516,26.175021,-98.11969
76449,32.908714,-98.35727
76823,31.714347,-99.14462
76457,31.944207,-98.02763
76597,31.390196,-97.799309
79360,32.718232,-102.73458
75040,32.920574,-96.62639
75151,32.062395,-96.473459
75458,33.242656,-96.291572
75681,31.934633,-94.68886
77965,29.444297,-96.952091
79250,33.870404,-101.60467
77219,29.83399,-95.434241
76078,33.072675,-97.473
77554,29.221289,-94.94455
75666,32.301898,-94.928795
76011,32.753672,-97.08706
77567,29.545836,-95.041532
77455,29.095463,-96.40324
77954,29.09649,-97.28798
76951,31.818347,-101.0455
88513,31.694842,-106.299987
76859,30.873091,-99.8296
77345,30.062436,-95.16945
78335,27.912454,-97.188437
78574,26.244013,-98.31176
79408,33.565926,-101.92669
75283,32.767268,-96.777626
77496,29.525461,-95.756462
79102,35.197852,-101.84543
79121,35.173704,-101.92914
