COUNTY,Population,Percent 65+ Population,Number 65+ Population
Texas,"20,218,525",10,2021852.5
Anderson,"53,504",11.4,6099.456
Andrews,"13,942",11.9,1659.098
Angelina,"79,009",12.5,9876.125
Aransas,"21,919",19.3,4230.367
Archer,"8,770",15.2,1333.04
Armstrong,"2,143",20.1,430.743
Atascosa,"36,736",11.1,4077.696
Austin,"23,482",15.2,3569.264
Bailey,"6,567",15.5,1017.885
Bandera,"16,448",16.5,2713.92
Bastrop,"53,728",10.7,5748.896
Baylor,"4,149",23.7,983.313
Bee,"29,034",10.8,3135.672
Bell,"231,750",8.4,19467
Bexar,"1,371,363",10.1,138507.663
Blanco,"7,977",17.2,1372.044
Borden,724,19.2,139.008
Bosque,"16,552",20.6,3409.712
Bowie,"84,982",14.1,11982.462
Brazoria,"234,056",8.6,20128.816
Brazos,"145,924",6.5,9485.06
Brewster,"9,066",15,1359.9
Briscoe,"1,849",20.4,377.196
Brooks,"8,266",14.2,1173.772
Brown,"37,230",16,5956.8
Burleson,"15,806",16.6,2623.796
Burnet,"32,189",18.9,6083.721
Caldwell,"32,237",12,3868.44
Calhoun,"20,711",13.7,2837.407
Callahan,"12,876",17.1,2201.796
Cameron,"324,735",10.6,34421.91
Camp,"11,171",15.9,1776.189
Carson,"6,657",16.2,1078.434
Cass,"30,699",16.6,5096.034
Castro,"8,371",12.5,1046.375
Chambers,"25,988",9.5,2468.86
Cherokee,"45,610",15.4,7023.94
Childress,"7,345",15.8,1160.51
Clay,"10,934",16.9,1847.846
Cochran,"3,918",14,548.52
Coke,"3,690",23.8,878.22
Coleman,"9,450",23.1,2182.95
Collin,"459,446",4.9,22512.854
Collingsworth,"3,336",22.9,763.944
Colorado,"19,770",18.4,3637.68
Comal,"75,948",14.8,11240.304
Comanche,"14,169",21.1,2989.659
Concho,"3,363",16.4,551.532
Cooke,"34,819",15.1,5257.669
Coryell,"75,433",5.6,4224.248
Cottle,"2,040",24.9,507.96
Crane,"4,447",10.4,462.488
Crockett,"4,416",13,574.08
Crosby,"6,871",16.2,1113.102
Culberson,"3,100",12.3,381.3
Dallam,"6,058",13,787.54
Dallas,"2,112,530",8.6,181677.58
Dawson,"14,878",14.9,2216.822
Deaf Smith,"18,863",11.8,2225.834
Delta,"5,191",19.1,991.481
Denton,"409,810",4.8,19670.88
DeWitt,"20,096",18.5,3717.76
Dickens,"2,495",22.4,558.88
Dimmit,"10,424",12.5,1303
Donley,"3,791",22.3,845.393
Duval,"13,444",13.2,1774.608
Eastland,"18,617",20.9,3890.953
Ector,"123,449",10.9,13455.941
Edwards,"2,750",13.9,382.25
Ellis,"107,750",9.2,9913
El Paso,"688,885",9.3,64066.305
Erath,"32,033",13.3,4260.389
Falls,"18,114",17.6,3188.064
Fannin,"29,413",16.6,4882.558
Fayette,"21,872",21.1,4614.992
Fisher,"4,316",23.4,1009.944
Floyd,"7,898",16.9,1334.762
Foard,"1,738",23,399.74
